teks,label
"""Sabar. Terkadang Anda harus melalui yang terburuk untuk mendapatkan yang terbaik.""",8
"""Semuanya akan datang padamu di saat yang tepat, bersabarlah.""",8
" ""Kesabaran adalah kebajikan, kebajikan adalah anugerah; Keduanya disatukan membuat wajah sangat cantik.""",8
"""Kesabaran bukanlah kemampuan untuk menunggu, tapi kemampuan untuk menjaga sikap yang baik saat menunggu.""",8
"""Tapi, sungguh siapapun yang sabar dan tekun akan mekar seperti bunga, akan indah seperti purnama, dan menakjubkan seperti kupu-kupu",8
"""Ketika hal-hal terlalu sulit untuk ditangani, mundurlah dan hitung berkat-berkat yang telah kamu peroleh""",8
"""Jangan pernah membayangkan sakitnya hati orang yang ikhlas, sekeras apapun kamu berusaha menyakitinya, hanya akan membuatnya lebih kuat untuk bersyukur""",8
"""Kesempatan terbaik selalu datang saat sabar menunggu""",8
"""Aku mencari segala bentuk rezeki, tapi tidak menemukan rezeki yang lebih baik daripada sabar""",8
"""Orang yang kuat dan sabar adalah orang yang mampu menyembunyikan perasaan sedihnya kepada orang lain dan senantiasa mengukir senyuman dengan ikhlas""",8
"""Orang yang kuat bukan mereka yang selalu menang Melainkan mereka yang tetap tegar ketika mereka jatuh""",8
"""Tidak ada waktu untuk mengeluh Sabar, ikhlas, lalu lanjutkan hidupmu""",8
"""Sejak kita menginginkan keindahan dan kebahagiaan hidup, jadikanlah sabar sebagai sahabat, dan ikhlas sebagai penguat langkah""",8
"""Tetaplah tegar meski yang lain berguguran Tetaplah tersenyum meskipun perjuangan ini terasa pahit dan berliku""",8
"""Jalan menuju kebahagian yang sempurna adalah dengan kesabaran dan keikhlasan""",8
"""Rahasia dari kesabaran adalah melakukan sesuatu dalam ketidakpastian namun penuh dengan harapan""",8
"""Betapa mulia jiwa yang sabar dan ikhlas, yang meyakini akan datangnya kebahagiaan pemberian Tuhan""",8
"""Keikhlasan akan membentuk diri jadi lebih kuat""",8
"""Sejak kita menginginkan kebahagiaan dan kesuksesan, sejak itu pula kesabaran menjadi kewajiban kita""",8
"""Bahagia itu datang bersama sabar dan perginya bahagia bersama ikhlas""",8
"""Sabarlah, perlahan hati akan membaik setelah itu""",8
"""Sabar itu sebagian dari iman Ingat, cuma sebagian, ya! Sisanya bikin pusing""",8
"""Karena sabar itu menenangkan jiwa, ikhlas itu mendamaikan hati Sabar dan ikhlas mengajarkan kita arti ‘memahami’""",8
"""Andai kesabaran itu dibayar, mungkin aku sudah jadi miliarder",8
"""Mencintai tidak cukup dengan tidak melukai yang dicintai, tapi juga harus sabar saat dilukai yang dicinta""",8
"""Jangan menyerah saat doa-doamu belum terjawab Jika kamu mampu bersabar, Allah mampu memberikan lebih dari apa yang kamu minta""",8
"""Allah tidak membebani seseorang, melainkan sesuai dengan kesanggupannya"" (QS Al-Baqarah: )",8
"""Hanya orang-orang yang bersabarlah yang disempurnakan pahala tanpa batas"" (QS Az Sumar: )",8
"""Jika kamu mampu bersabar sebentar saat dirimu marah, maka hal itu dapat menghindarkanmu dari ribuan penyesalan di masa yang akan datang"" (Ali bin Abu Thalib)",8
